/pmos/D (vsg_p=0) X,/pmos/D (vsg_p=0) Y,/pmos/D (vsg_p=0.2) X,/pmos/D (vsg_p=0.2) Y,/pmos/D (vsg_p=0.4) X,/pmos/D (vsg_p=0.4) Y,/pmos/D (vsg_p=0.8) X,/pmos/D (vsg_p=0.8) Y,/pmos/D (vsg_p=1) X,/pmos/D (vsg_p=1) Y,/pmos/D (vsg_p=0.6) X,/pmos/D (vsg_p=0.6) Y
0.09999999999999999,-3.582634224165637e-09,0.09999999999999999,-3.292809044845865e-07,0.09999999999999999,-1.468226427238728e-05,0.09999999999999999,-0.0002347875019625016,0.09999999999999999,-0.0003355521447599075,0.09999999999999999,-0.0001122394974127431
0.11,-3.78528272512484e-09,0.11,-3.465371627495958e-07,0.11,-1.539017654911725e-05,0.11,-0.0002543773268391772,0.11,-0.0003652089103770511,0.11,-0.000120219140711227
0.12,-3.992539992827979e-09,0.12,-3.640448869343265e-07,0.12,-1.607682656768922e-05,0.12,-0.0002732879971296434,0.12,-0.0003941725902550241,0.12,-0.0001276715997266056
0.13,-4.205545950521478e-09,0.13,-3.819077089843798e-07,0.13,-1.675284064537968e-05,0.13,-0.0002915272242189101,0.13,-0.0004224474840559739,0.13,-0.0001346220527242971
0.14,-4.425100027843956e-09,0.14,-4.001956872610035e-07,0.14,-1.742514472393832e-05,0.14,-0.0003091030845073803,0.14,-0.0004500380104320768,0.14,-0.0001411004643225096
0.15,-4.651800556738064e-09,0.15,-4.18958949742228e-07,0.15,-1.809827379053561e-05,0.15,-0.0003260241065524493,0.15,-0.0004769487158557099,0.15,-0.0001471419756384529
0.16,-4.886123947936928e-09,0.16,-4.38235441028979e-07,0.16,-1.877523588345222e-05,0.16,-0.0003422993805126202,0.16,-0.0005031842855853407,0.16,-0.0001527867444275343
0.17,-5.128471071429438e-09,0.17,-4.580554505991641e-07,0.17,-1.945806074516663e-05,0.17,-0.0003579386948498054,0.17,-0.0005287495572371795,0.17,-0.0001580790111905411
0.18,-5.379195281336605e-09,0.18,-4.784443293672208e-07,0.18,-2.014814403246737e-05,0.18,-0.0003729527056134597,0.18,-0.0005536495375416574,0.18,-0.0001630653459123271
0.19,-5.638619867705173e-09,0.19,-4.994242877475677e-07,0.19,-2.084646380146374e-05,0.19,-0.0003873531433581688,0.19,-0.0005778894229965364,0.19,-0.0001677923167331541
0.2,-5.907049243506215e-09,0.2,-5.210159358398792e-07,0.2,-2.155371810295466e-05,0.2,-0.0004011530612371226,0.2,-0.0006014746252879504,0.2,-0.0001723040716486067
0.21,-6.184776318540464e-09,0.21,-5.432383055148195e-07,0.21,-2.227041374058447e-05,0.21,-0.000414367124192248,0.21,-0.0006244108025392313,0.21,-0.0001766403719067057
0.2200000000000001,-6.472087493563154e-09,0.2200000000000001,-5.661091393310284e-07,0.2200000000000001,-2.2996924500683e-05,0.2200000000000001,-0.0004270119323155282,0.2200000000000001,-0.0006467038976643548,0.2200000000000001,-0.0001808354243610429
0.2300000000000001,-6.76926613437733e-09,0.2300000000000001,-5.896454898318984e-07,0.2300000000000001,-2.373353003581554e-05,0.2300000000000001,-0.0004391063602988691,0.2300000000000001,-0.0006683601853428447,0.2300000000000001,-0.0001849175594295229
0.2400000000000001,-7.076595054208289e-09,0.2400000000000001,-6.138640047823748e-07,0.2400000000000001,-2.448044229492009e-05,0.2400000000000001,-0.0004506718790262936,0.2400000000000001,-0.0006893863293813334,0.2400000000000001,-0.0001889095654136779
0.2500000000000001,-7.394358336399171e-09,0.2500000000000001,-6.38781101782825e-07,0.2500000000000001,-2.5237823804068e-05,0.2500000000000001,-0.0004617328062656793,0.2500000000000001,-0.0007097894524538863,0.2500000000000001,-0.0001928294016456234
0.2600000000000001,-7.722842710532436e-09,0.2600000000000001,-6.644130920404383e-07,0.2600000000000001,-2.600580052518711e-05,0.2600000000000001,-0.0004723164158753169,0.2600000000000001,-0.000729577220364446,0.2600000000000001,-0.000196691045537816
0.2700000000000001,-8.062338621430769e-09,0.2700000000000001,-6.907762723324891e-07,0.2700000000000001,-2.678447104790442e-05,0.2700000000000001,-0.0004824528277530373,0.2700000000000001,-0.0007487579429600856,0.2700000000000001,-0.000200505312250543
0.2800000000000001,-8.413141083958702e-09,0.2800000000000001,-7.178869952661167e-07,0.2800000000000001,-2.757391326178063e-05,0.2800000000000001,-0.0004921746148708415,0.2800000000000001,-0.0007673406935022562,0.2800000000000001,-0.0002042805664974982
0.2900000000000001,-8.775550386584756e-09,0.2900000000000001,-7.457617242264751e-07,0.2900000000000001,-2.83741892704761e-05,0.2900000000000001,-0.0005015161064220031,0.2900000000000001,-0.0007853354474707421,0.2900000000000001,-0.0002080233019641633
0.3000000000000001,-9.149872687037655e-09,0.3000000000000001,-7.744170773024342e-07,0.3000000000000001,-2.918534906093824e-05,0.3000000000000001,-0.0005105124327989625,0.3000000000000001,-0.0008027532401612521,0.3000000000000001,-0.000211738594446863
0.3100000000000001,-9.536420530317798e-09,0.3100000000000001,-8.038698631505729e-07,0.3100000000000001,-3.000743327832566e-05,0.3100000000000001,-0.0005191984282714573,0.3100000000000001,-0.0008196063397298192,0.3100000000000001,-0.0002154304476592481
0.3200000000000001,-9.93551331048693e-09,0.3200000000000001,-8.341371108789639e-07,0.3200000000000001,-3.084047534971686e-05,0.3200000000000001,-0.0005276075512387942,0.3200000000000001,-0.0008359084282565824,0.3200000000000001,-0.0002191020534279259
0.3300000000000001,-1.034747769160444e-08,0.3300000000000001,-8.652360954356932e-07,0.3300000000000001,-3.168450312727928e-05,0.3300000000000001,-0.0005357709782207957,0.3300000000000001,-0.0008516747778626568,0.3300000000000001,-0.0002227559861021996
0.3400000000000001,-1.077264799896139e-08,0.3400000000000001,-8.971843595751292e-07,0.3400000000000001,-3.253954017224314e-05,0.3400000000000001,-0.0005437169776613797,0.3400000000000001,-0.0008669224022820786,0.3400000000000001,-0.0002263943475078557
0.3500000000000001,-1.121136658881061e-08,0.3500000000000001,-9.299997331858252e-07,0.3500000000000001,-3.340560676692259e-05,0.3500000000000001,-0.0005514705966950086,0.3500000000000001,-0.000881670157695242,0.3500000000000001,-0.0002300188751721434
0.3600000000000002,-1.166398420268023e-08,0.3600000000000002,-9.637003505589382e-07,0.3600000000000002,-3.42827207178869e-05,0.3600000000000002,-0.000559053628257018,0.3600000000000002,-0.0008959387621746673,0.3600000000000002,-0.0002336310234288204
0.3700000000000002,-1.213086031084875e-08,0.3700000000000002,-9.983046660289601e-07,0.3700000000000002,-3.517089799492041e-05,0.3700000000000002,-0.0005664847867238336,0.3700000000000002,-0.0009097507036734914,0.3700000000000002,-0.0002372320245266189
0.3800000000000002,-1.26123634484563e-08,0.3800000000000002,-1.033831468311522e-06,0.3800000000000002,-3.6070153232941e-05,0.3800000000000002,-0.0005737800104452086,0.3800000000000002,-0.0009231300148978876,0.3800000000000002,-0.0002408229349700645
0.3900000000000002,-1.310887154693078e-08,0.3900000000000002,-1.070299893785099e-06,0.3900000000000002,-3.698050021480441e-05,0.3900000000000002,-0.000580952820355234,0.3900000000000002,-0.0009361019107275625,0.3900000000000002,-0.0002444046709143571
