/pmos/D (vsd_p=0) X,/pmos/D (vsd_p=0) Y,/pmos/D (vsd_p=0.2) X,/pmos/D (vsd_p=0.2) Y,/pmos/D (vsd_p=0.4) X,/pmos/D (vsd_p=0.4) Y,/pmos/D (vsd_p=0.6) X,/pmos/D (vsd_p=0.6) Y,/pmos/D (vsd_p=0.8) X,/pmos/D (vsd_p=0.8) Y,/pmos/D (vsd_p=1) X,/pmos/D (vsd_p=1) Y
0.2800000000000001,2.440617986112769e-10,0.2800000000000001,-2.634127787773615e-06,0.2800000000000001,-5.3068879389531e-06,0.2800000000000001,-9.45801657944869e-06,0.2800000000000001,-1.55845864222031e-05,0.2800000000000001,-2.42776488919674e-05
0.2900000000000001,2.656264722912733e-10,0.2900000000000001,-3.192971649268427e-06,0.2900000000000001,-6.380182554511611e-06,0.2900000000000001,-1.126789733086986e-05,0.2900000000000001,-1.838331566453088e-05,0.2900000000000001,-2.833467967898795e-05
0.3000000000000001,2.885117113940787e-10,0.3000000000000001,-3.860681196487834e-06,0.3000000000000001,-7.647550069463784e-06,0.3000000000000001,-1.337642875705144e-05,0.3000000000000001,-2.159669846713976e-05,0.3000000000000001,-3.29230770463742e-05
0.3100000000000001,3.127478750193871e-10,0.3100000000000001,-4.6557169891178e-06,0.3100000000000001,-9.137443553372927e-06,0.3100000000000001,-1.581978035043011e-05,0.3100000000000001,-2.526419751898408e-05,0.3100000000000001,-3.808010145253478e-05
0.3200000000000001,3.383551510673019e-10,0.3200000000000001,-5.598774158625117e-06,0.3200000000000001,-1.088048492156361e-05,0.3200000000000001,-1.863508668878099e-05,0.3200000000000001,-2.942423645655712e-05,0.3200000000000001,-4.383981255970206e-05
0.3300000000000001,3.653455124162915e-10,0.3300000000000001,-6.712742564669468e-06,0.3300000000000001,-1.290906324675184e-05,0.3300000000000001,-2.185968309761625e-05,0.3300000000000001,-3.41132900307154e-05,0.3300000000000001,-5.023230822170051e-05
0.3400000000000001,3.937253534826885e-10,0.3400000000000001,-8.022557670735021e-06,0.3400000000000001,-1.525679490246498e-05,0.3400000000000001,-2.553026541161606e-05,0.3400000000000001,-3.936501888621722e-05,0.3400000000000001,-5.728311558257093e-05
0.3500000000000001,4.234982072034623e-10,0.3500000000000001,-9.554927651549584e-06,0.3500000000000001,-1.795786255944448e-05,0.3500000000000001,-2.968202134487504e-05,0.3500000000000001,-4.520949936012001e-05,0.3500000000000001,-6.501276018331992e-05
0.3600000000000002,4.546671026905926e-10,0.3600000000000002,-1.1337931314345e-05,0.3600000000000002,-2.104626307889639e-05,0.3600000000000002,-3.434778501199908e-05,0.3600000000000002,-5.167258975638467e-05,0.3600000000000002,-7.343652396894568e-05
0.3700000000000002,4.872363428944684e-10,0.3700000000000002,-1.340049279853616e-05,0.3700000000000002,-2.455500483234858e-05,0.3700000000000002,-3.955726450821722e-05,0.3700000000000002,-5.877546197435386e-05,0.3700000000000002,-8.256438879115514e-05
0.3800000000000002,5.212126676666747e-10,0.3800000000000002,-1.577175125210668e-05,0.3800000000000002,-2.851530127586201e-05,0.3800000000000002,-4.533638557652702e-05,0.3800000000000002,-6.653431308003599e-05,0.3800000000000002,-9.24011499331951e-05
0.3900000000000002,5.566058821199594e-10,0.3900000000000002,-1.848035497424023e-05,0.3900000000000002,-3.295580877751969e-05,0.3900000000000002,-5.170678349591287e-05,0.3900000000000002,-7.496025732626232e-05,0.3900000000000002,-0.0001029466752789127
0.4000000000000002,5.93429077074324e-10,0.4000000000000002,-2.15537181049825e-05,0.4000000000000002,-3.790195268497248e-05,0.4000000000000002,-5.868546214652019e-05,0.4000000000000002,-8.405938683268268e-05,0.4000000000000002,-0.0001141962803443074
