/nmos/D (vds_n=0) X,/nmos/D (vds_n=0) Y,/nmos/D (vds_n=0.2) X,/nmos/D (vds_n=0.2) Y,/nmos/D (vds_n=0.4) X,/nmos/D (vds_n=0.4) Y,/nmos/D (vds_n=0.8) X,/nmos/D (vds_n=0.8) Y,/nmos/D (vds_n=1) X,/nmos/D (vds_n=1) Y,/nmos/D (vds_n=0.6) X,/nmos/D (vds_n=0.6) Y
0.2,-6.016763321003697e-11,0.2,8.566084607714004e-07,0.2,1.546469228716174e-06,0.2,4.206060221131865e-06,0.2,6.597570652357838e-06,0.2,2.602053329891107e-06
0.21,-6.756676279586845e-11,0.21,1.079936456810308e-06,0.21,1.944701660937803e-06,0.21,5.253067028248237e-06,0.21,8.202962050702554e-06,0.21,3.261971972586545e-06
0.2200000000000001,-7.552089468029174e-11,0.2200000000000001,1.359538775003336e-06,0.2200000000000001,2.441281779564612e-06,0.2200000000000001,6.544452983175812e-06,0.2200000000000001,1.01688572974546e-05,0.2200000000000001,4.08081054155623e-06
0.2300000000000001,-8.406931239881047e-11,0.2300000000000001,1.708880138662857e-06,0.2300000000000001,3.05894931698305e-06,0.2300000000000001,8.131327228891611e-06,0.2300000000000001,1.256541439316442e-05,0.2300000000000001,5.093729927787429e-06
0.2400000000000001,-9.32594071055938e-11,0.2400000000000001,2.14439530165442e-06,0.2400000000000001,3.825153790595043e-06,0.2400000000000001,1.007341608486982e-05,0.2400000000000001,1.547277220561041e-05,0.2400000000000001,6.342570522159404e-06
0.2500000000000001,-1.031481276194018e-10,0.2500000000000001,2.686058996784569e-06,0.2500000000000001,4.772838881431381e-06,0.2500000000000001,1.24397988727712e-05,0.2500000000000001,1.89812413898928e-05,0.2500000000000001,7.87673539188572e-06
0.2600000000000001,-1.138033059869909e-10,0.2600000000000001,3.35803309850466e-06,0.2600000000000001,5.94128581395938e-06,0.2600000000000001,1.530943414008549e-05,0.2600000000000001,2.319103090864307e-05,0.2600000000000001,9.754043491745241e-06
0.2700000000000001,-1.253046023891872e-10,0.2700000000000001,4.189388505449524e-06,0.2700000000000001,7.376985844015845e-06,0.2700000000000001,1.877135052680113e-05,0.2700000000000001,2.821136506149595e-05,0.2700000000000001,1.204147762168282e-05
0.2800000000000001,-1.377437327017646e-10,0.2800000000000001,5.214888551579744e-06,0.2800000000000001,9.134491044492644e-06,0.2800000000000001,2.292435417801772e-05,0.2800000000000001,3.415885934835395e-05,0.2800000000000001,1.481572232632686e-05
0.2900000000000001,-1.512236090720026e-10,0.2900000000000001,6.475804897447074e-06,0.2900000000000001,1.127716494696442e-05,0.2900000000000001,2.787609626869481e-05,0.2900000000000001,4.115506868296446e-05,0.2900000000000001,1.816335627401766e-05
0.3000000000000001,-1.658560928840036e-10,0.3000000000000001,8.02071478771394e-06,0.3000000000000001,1.387772173412955e-05,0.3000000000000001,3.374136187156489e-05,0.3000000000000001,4.932320493175445e-05,0.3000000000000001,2.2180539252784e-05
0.3100000000000001,-1.817582770337205e-10,0.3100000000000001,9.906199135551041e-06,0.3100000000000001,1.701840940052564e-05,0.3100000000000001,4.063949651597547e-05,0.3100000000000001,5.878413949565691e-05,0.3100000000000001,2.697202721755128e-05
0.3200000000000001,-1.990475789016517e-10,0.3200000000000001,1.219732669743318e-05,0.3200000000000001,2.079066782388625e-05,0.3200000000000001,4.869098469105809e-05,0.3200000000000001,6.965194385085872e-05,0.3200000000000001,3.264937355689902e-05
0.3300000000000001,-2.178363481545336e-10,0.3300000000000001,1.496777673856242e-05,0.3300000000000001,2.529409033194636e-05,0.3300000000000001,5.801332818018388e-05,0.3300000000000001,8.202934624460399e-05,0.3300000000000001,3.932824247165286e-05
0.3400000000000001,-2.382270021432982e-10,0.3400000000000001,1.829943171732418e-05,0.3400000000000001,3.063455172545291e-05,0.3400000000000001,6.871651841982493e-05,0.3400000000000001,9.600355945977166e-05,0.3400000000000001,4.712487374063594e-05
0.3500000000000001,-2.603087159301215e-10,0.3500000000000001,2.228127677943455e-05,0.3500000000000001,3.692144703070446e-05,0.3500000000000001,8.089851981872598e-05,0.3500000000000001,0.0001116429327625926,0.3500000000000001,5.615188464110549e-05
0.3600000000000002,-2.841563458825925e-10,0.3600000000000002,2.700748804551414e-05,0.3600000000000002,4.426411198477653e-05,0.3600000000000002,9.464124128403873e-05,0.3600000000000002,0.0001289947907809624,0.3600000000000002,6.651374474634664e-05
0.3700000000000002,-3.098316720205311e-10,0.3700000000000002,3.257468380494422e-05,0.3700000000000002,5.276764968462006e-05,0.3700000000000002,0.0001100074446343907,0.3700000000000002,0.0001480846594213919,0.3700000000000002,7.830237198684328e-05
0.3800000000000002,-3.373864537341872e-10,0.3800000000000002,3.907844504553263e-05,0.3800000000000002,6.252853272499772e-05,0.3800000000000002,0.0001270389195682448,0.3800000000000002,0.0001689168822008015,0.3800000000000002,9.159333546321912e-05
0.3900000000000002,-3.66866438286538e-10,0.3900000000000002,4.660936017350395e-05,0.3900000000000002,7.363044402977726e-05,0.3900000000000002,0.0001457560715599549,0.3900000000000002,0.0001914764460261082,0.3900000000000002,0.0001064430921378633
0.4000000000000002,-3.983154302766011e-10,0.4000000000000002,5.524897555542999e-05,0.4000000000000002,8.614082832405815e-05,0.4000000000000002,0.0001661588664285561,0.4000000000000002,0.0002157317022684329,0.4000000000000002,0.0001228875392437738
0.4100000000000002,-4.317787527853461e-10,0.4100000000000002,6.506609892426059e-05,0.4100000000000002,0.0001001085389879377,0.4100000000000002,0.0001882289007459137,0.4100000000000002,0.0002416376069093274,0.4100000000000002,0.0001409419673221624
0.4200000000000002,-4.673057582626874e-10,0.4200000000000002,7.611388073356466e-05,0.4200000000000002,0.000115562800594544,0.4200000000000002,0.0002119322548057426,0.4200000000000002,0.0002691391113466309,0.4200000000000002,0.000160602299261019
0.4300000000000002,-5.049513455027281e-10,0.4300000000000002,8.842798890762546e-05,0.4300000000000002,0.0001325135076191226,0.4300000000000002,0.000237222747009415,0.4300000000000002,0.0002981743959894124,0.4300000000000002,0.000181847343606442
0.4400000000000002,-5.447766376665781e-10,0.4400000000000002,0.0001020260220481579,0.4400000000000002,0.0001509526944914963,0.4400000000000002,0.0002640452370182714,0.4400000000000002,0.0003286777278599246,0.4400000000000002,0.0002046417029150685
0.4500000000000002,-5.868490655723395e-10,0.4500000000000002,0.0001169081190964045,0.4500000000000002,0.0001708568799479007,0.4500000000000002,0.0002923386985336679,0.4500000000000002,0.000360581818041949,0.4500000000000002,0.0002289389644230717
